title  Photometry data for APASS_J200615.5+442725 from search centered on 20_06_15.5_+44_27_24.6 using the apass calibration catalog
REF	Date	year	magcal_magdep	magcal_local_rms	limiting_mag_local	ra	dec	THETA_J2000	ELLIPTICITY	Plate	versionId	AFLAGS	BFLAGS	quality	timeAccuracy	AFLAGSBits	BFLAGSBits	qualitybits
APASS_J200615.5+442725	2415636.742882	1901.688337	12.45	 0.16	13.63	301.56386	 44.45606	 88.7	0.553	ac01732	151	67108864	1349386243	384	0.000700	26	0,1,17,18,19,21,22,28,30	7,8
APASS_J200615.5+442725	2415650.579318	1901.726245	12.10	 0.33	12.44	301.56311	 44.45621	 69.7	0.241	ac01767	151	8192	1349386240	384	0.000700	13	17,18,19,21,22,28,30	7,8
APASS_J200615.5+442725	2415673.568692	1901.789229	12.58	 0.42	12.59	301.56613	 44.45805	-61.1	0.615	ac01863	151	8192	1349386242	4480	0.000700	13	1,17,18,19,21,22,28,30	7,8,12
APASS_J200615.5+442725	2415673.624441	1901.789382	12.47	 0.20	13.15	301.56621	 44.45676	-77.8	0.203	ac01864	151	0	1349451776	384	0.000700		16,17,18,19,21,22,28,30	7,8
APASS_J200615.5+442725	2415676.462732	1901.797158	12.24	 0.08	14.54	301.56461	 44.45738	 24.1	0.150	i27798	152	128	1349451776	657	0.000700	7	16,17,18,19,21,22,28,30	0,4,7,9
APASS_J200615.5+442725	2415676.531292	1901.797346	12.44	 0.09	13.71	301.56464	 44.45694	 22.5	0.240	i27801	151	128	1349453824	529	0.000700	7	11,16,17,18,19,21,22,28,30	0,4,9
APASS_J200615.5+442725	2415676.572843	1901.797460	12.67	 0.16	13.11	301.56357	 44.45636	 40.2	0.258	i27804	152	8320	1349386243	641	0.000700	7,13	0,1,17,18,19,21,22,28,30	0,7,9
APASS_J200615.5+442725	2415676.631015	1901.797619	12.27	 0.09	13.65	301.56482	 44.45709	 63.5	0.162	i27806	156	128	1349453824	528	0.000700	7	11,16,17,18,19,21,22,28,30	4,9
APASS_J200615.5+442725	2415676.692649	1901.797788	12.77	 0.22	13.42	301.56404	 44.45581	 68.1	0.063	i27808	156	128	1349451778	641	0.000700	7	1,16,17,18,19,21,22,28,30	0,7,9
APASS_J200615.5+442725	2415683.463403	1901.816338	12.22	 0.10	13.96	301.56495	 44.45708	 22.9	0.326	i27850	156	128	1349451776	656	0.000700	7	16,17,18,19,21,22,28,30	4,7,9
APASS_J200615.5+442725	2415683.550660	1901.816577	12.21	 0.11	13.75	301.56526	 44.45737	 29.0	0.500	i27852	156	128	1349453824	528	0.000700	7	11,16,17,18,19,21,22,28,30	4,9
APASS_J200615.5+442725	2415684.032306	1901.817897	12.37	 0.10	13.56	301.56480	 44.45698	 17.7	0.257	i27849	156	640	1886324736	528	1.000000	7,9	11,16,17,18,19,21,22,28,29,30	4,9
APASS_J200615.5+442725	2415692.610168	1901.841398	12.22	 0.24	12.61	301.56021	 44.45811	-74.1	0.537	ac01949	151	8192	1349386240	384	0.000700	13	17,18,19,21,22,28,30	7,8
APASS_J200615.5+442725	2415693.470620	1901.843755	12.32	 0.15	12.86	301.56371	 44.45634	-25.5	0.247	ac01954	130	0	1349453824	256	0.000700		11,16,17,18,19,21,22,28,30	8
APASS_J200615.5+442725	2415696.563744	1901.852229	12.45	 0.35	12.47	301.56209	 44.45730	-79.8	0.323	ac01966	151	8192	1349386240	384	0.000700	13	17,18,19,21,22,28,30	7,8
APASS_J200615.5+442725	2415699.510747	1901.860303	12.39	 0.19	13.60	301.56535	 44.45710	-28.8	0.241	ac01974	151	0	1349453824	256	0.000700		11,16,17,18,19,21,22,28,30	8
APASS_J200615.5+442725	2415699.583115	1901.860502	11.87	 0.17	14.43	301.56724	 44.45853	 56.3	0.637	i27950	152	41943168	1349386242	4753	0.000010	7,23,25	1,17,18,19,21,22,28,30	0,4,7,9,12
APASS_J200615.5+442725	2415709.556382	1901.887826	12.25	 0.17	13.24	301.56525	 44.45679	-59.8	0.332	ac01984	151	0	1349453824	256	0.000700		11,16,17,18,19,21,22,28,30	8
APASS_J200615.5+442725	2415716.514094	1901.906888	12.21	 0.28	12.34	301.56271	 44.45983	 52.0	0.506	ac02007	151	8192	1349386242	384	0.000700	13	1,17,18,19,21,22,28,30	7,8
